Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,HEIGHT,JLCPCB,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,PACKAGE,POPULARITY,PRICE,PROD_ID,PURCHASE-URL,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TP_SIGNAL_NAME,VALUE
3,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N,"D2, D4, D5","ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123",,,"In Stock",https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda,," Diode Schottky 30 V 500mA Surface Mount SOD-123 ",,,,,,,,"ON Semiconductor",,,MBR0530,"SOD-123-2 ON Semiconductor",,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=179458&manufacturer=ON Semiconductor&part_name=MBR0530&search_term=None",https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=snap,,,,
1,FTC252012SR47MBCA,MLP2016SR47MT0S1_FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N,L7,"SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :",,,,,,"SMD / SMT Inductors (Coils)"," L=0.47?H"," L x W x T :",,,,1mm,https://jlcpcb.com/partdetail/6763488-FTC252012SR47MBCA/C5832368,TDK,FTC252012SR47MBCA,,,,,,,,,,,,
14,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R,"TP_3.3V, TP_3V3, TP_BAT_GND, TP_GND, TP_ON, TP_OP, TP_RESET, TP_SCL, TP_SDA, TP_SWDCLK, TP_SWDIO, TP_SWO, TP_VBAT, TP_VREG","Test pad",,,,,,,,,,,,,,,,,,,2,,,,,,,,
1,KH-TYPE-C-16P,KH-TYPE-C-16P_KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P,J4,"Check availability",,,"Not in stock",https://www.snapeda.com/parts/KH-TYPE-C-16P/Kinghelm/view-part/?ref=eda,,"                                                                                                    ",,,,,,,,kinghelm,,,KH-TYPE-C-16P,None,,None,,,https://www.snapeda.com/parts/KH-TYPE-C-16P/Kinghelm/view-part/?ref=snap,,,,
1,MAX17048G+T10,ESP32_C6_LIBRARY_MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N,U3,"Check availability",,,"In Stock",https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=eda,," 3µA 1-Cell/2-Cell Fuel Gauge with ModelGauge ",,,,,,,,"Analog Devices",,,MAX17048G+T10,"TDFN-8 Maxim",,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=329239&manufacturer=Analog Devices&part_name=MAX17048G+T10&search_term=None",https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=snap,,,,
3,N.C.,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,"C10, C13, C22","Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NRF52840_QF,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N,U1,nRF52840,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,RT6160AWSC,RT6160AWSC_RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60,IC9,"Buck-Boost Regulator Positive Output Step-Up/Step-Down I2C DC-DC Controller IC 15-WL-CSP (BSC) (1.4x2.3)",,,,,,"Buck-Boost Regulator Positive Output Step-Up/Step-Down I2C DC-DC Controller IC 15-WL-CSP (BSC) (1.4x2.3)",,,,0.6mm,,RICHTEK,RT6160AWSC,,835-RT6160AWSC,https://www.mouser.co.uk/ProductDetail/Richtek/RT6160AWSC?qs=amGC7iS6iy%2FLd9PSoixZXQ%3D%3D,,,,,,,,,,,
1,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N,Q3,"MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70",,,"In Stock",https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=eda,," Si1308EDL-T1-GE3 N-channel MOSFET Transistor"," 1.5 A"," 30 V"," 3-Pin SC-70 | Siliconix / Vishay SI1308EDL-T1-GE3 ",,,,,,,,"Vishay Siliconix",,,SI1308EDL-T1-GE3,"SOT-323 Vishay Semiconductor",,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=274603&manufacturer=Vishay Siliconix&part_name=SI1308EDL-T1-GE3&search_term=None",https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=snap,
1,TC2030-IDC,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC,J2,"CABLE ADAPTER 6 POS",,,,,,"CABLE ADAPTER 6 POS",,,,19mm,,"Tag Connect",TC2030-IDC,,,,,,,,,,,,,,
1,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N,D3,"Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23",,,"In Stock",https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=eda,," 17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6 ",,,,,,,,STMicroelectronics,,,USBLC6-2SC6Y,"SOT-23-6 STMicroelectronics",,None,,,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=snap,,,,
